,Surname,First Names,Age,Boarded,Survivor (S) or Victim (†)
435,Gee,Mr Arthur H.,47,Southampton,†
436,George/Joseph,Mrs Shawneene,38,Cherbourg,S
437,Gerios Thamah,Mr Assaf,21,Cherbourg,†
438,Gheorgheff,Mr Stanio,NK,Cherbourg,†
439,Gibson,Miss Dorothy Winifred,22,Cherbourg,S
440,Gibson,Mrs Pauline Caroline,44,Cherbourg,S
441,Gieger,Miss Amalie (Maid to Mrs George Dunton Widener),35,Southampton,S
442,Giglio,Mr Victor Gaitan Andrea (Valet to Mr Benjamin Guggenheim),23,Cherbourg,†
443,Gilbert,Mr William,47,Southampton,†
444,Giles,Mr Edgar,21,Southampton,†
445,Giles,Mr Frederick Edward,20,Southampton,†
446,Giles,Mr Ralph,24,Southampton,†
447,Gilinski,Mr Eliezer,22,Southampton,†
448,Gill,Mr John,24,Southampton,†
449,Gillespie,Mr William Henry,31,Southampton,†
450,Gilnagh,Miss Katherine,17,Queenstown,S
451,Givard,Mr Hans Kristensen,30,Southampton,†
452,Glynn,Miss Mary Agatha,19,Queenstown,S
453,Goldenberg,Mr Samuel L.,47,Cherbourg,S
454,Goldenberg,Mrs Nella,40,Cherbourg,S
455,Goldschmidt,Mr George B.,71,Cherbourg,†
456,Goldsmith,Master Frank John William,9,Southampton,S
457,Goldsmith,Mr Frank John,33,Southampton,†
458,Goldsmith,Mr Nathan,41,Southampton,†
459,Goldsmith,Mrs Emily Alice,31,Southampton,S
460,Goodwin,Master Harold Victor,9,Southampton,†
461,Goodwin,Master Sidney Leslie,1,Southampton,†
462,Goodwin,Master William Frederick,11,Southampton,†
463,Goodwin,Miss Jessie Allis,10,Southampton,†
464,Goodwin,Miss Lillian Amy,16,Southampton,†
465,Goodwin,Mr Charles Edward,14,Southampton,†
466,Goodwin,Mr Frederick Joseph,42,Southampton,†
467,Goodwin,Mrs Augusta,43,Southampton,†
468,Gracie,Colonel Archibald,53,Southampton,S
469,Graham,Miss Margaret Edith,19,Southampton,S
470,Graham,Mr George Edward,38,Southampton,†
471,Graham,Mrs Edith,59,Southampton,S
472,Green,Mr George,40,Southampton,†
473,Greenberg,Mr Samuel,52,Southampton,†
474,Greenfield,Mr William Bertram,23,Cherbourg,S
475,Greenfield,Mrs Blanche,45,Cherbourg,S
476,Grønnestad,Mr Daniel Danielsen,32,Southampton,†
477,Guest,Mr Robert,23,Southampton,†
478,Guggenheim,Mr Benjamin,46,Cherbourg,†
479,Gustafsson,Mr Alfred Ossian,19,Southampton,†
480,Gustafsson,Mr Anders Vilhelm,37,Southampton,†
481,Gustafsson,Mr Johan Birger,28,Southampton,†
482,Gustafsson,Mr Karl Gideon,19,Southampton,†
483,Haas,Miss Aloisia,24,Southampton,†
484,Hagland,Mr Ingvald Olai Olsen,28,Southampton,†
485,Hagland,Mr Konrad Mathias Reiersen,19,Southampton,†
486,Hakkarainen,Mr Pekka Pietari,28,Southampton,†
487,Hakkarainen,Mrs Elin Matilda,24,Southampton,S
488,Hale,Mr Reginald,30,Southampton,†
489,Hampe,Mr Léon Jérome,19,Southampton,†
490,Hanna,Mr Boulos,18,Cherbourg,†
491,Hanna,Mr Mansour,35,Cherbourg,†
492,Hannah,Mr Borak,27,Cherbourg,S
493,Hansen,Mr Claus Peter,41,Southampton,†
494,Hansen,Mr Henrik Juul,26,Southampton,†
495,Hansen,Mr Henry Damsgaard,21,Southampton,†
496,Hansen,Mrs Jennie Louise,45,Southampton,S
497,Harbeck,Mr William H.,44,Southampton,†
498,Harder,Mr George Achilles,25,Cherbourg,S
499,Harder,Mrs Dorothy,21,Cherbourg,S
500,Hargadon,Miss Catherine,17,Queenstown,†
501,Harknett,Miss Alice Phoebe,21,Southampton,†
502,Harper,Miss Annie Jessie,6,Southampton,S
503,Harper,Mr Henry Sleeper,48,Cherbourg,S
504,Harper,Mrs Myra Raymond,49,Cherbourg,S
505,Harper,Reverend John,39,Southampton,†
506,Harrington,Mr Charles Henry (Manservant to Mr Clarence Bloomfield Moore),37,Southampton,†
507,Harris,Mr George,62,Southampton,S
508,Harris,Mr Henry Birkhardt,45,Southampton,†
509,Harris,Mr Walter,44,Southampton,†
510,Harris,Mrs Irene,35,Southampton,S
511,Harrison,Mr William Henry (Private secretary to Mr Joseph Bruce Ismay),45,Southampton,†
512,Hart,Miss Eva Miriam,7,Southampton,S
513,Hart,Mr Benjamin,47,Southampton,†
514,Hart,Mr Henry,28,Queenstown,†
515,Hart,Mrs Esther Ada,48,Southampton,S
516,Hartley,Mr Wallace Henry,33,Southampton,†
517,Hassab,Mr Hammad (Interpreter to Mr Henry Sleeper Harper),27,Cherbourg,S
518,Hawksford,Mr Walter James,45,Southampton,S
519,Hays,Miss Margaret Bechstein,24,Cherbourg,S
520,Hays,Mr Charles Melville,55,Southampton,†
521,Hays,Mrs Clara Jennings,52,Southampton,S
522,Head,Mr Christopher,42,Southampton,†
523,Healy,Miss Honor,29,Queenstown,S
524,Hedman,Mr Oskar Arvid,27,Southampton,S
525,Hee,Mr Ling,24,Southampton,S
526,Hegarty,Miss Hanora,18,Queenstown,†
527,Heikkinen,Miss Laina,26,Southampton,†
528,Heininen,Miss Wendla Maria,23,Southampton,†
529,Hellström,Miss Hilda Maria,22,Southampton,S
530,Hendekovic,Mr Ignjac,28,Southampton,†
531,Henriksson,Miss Jenny Lovisa,28,Southampton,†
532,Henry,Miss Bridget Delia,21,Queenstown,†
533,Herman,Miss Alice,23,Southampton,S
534,Herman,Miss Kate,23,Southampton,S
535,Herman,Mr Samuel,49,Southampton,†
536,Herman,Mrs Jane,48,Southampton,S
537,Hewlett,Mrs Mary Dunbar,56,Southampton,S
538,Hickman,Mr Leonard Mark,24,Southampton,†
539,Hickman,Mr Lewis,30,Southampton,†
540,Hickman,Mr Stanley George,20,Southampton,†
541,Hilliard,Mr Herbert Henry,44,Southampton,†
542,Hiltunen,Miss Marta,18,Southampton,†
543,Hipkins,Mr William Edward,55,Southampton,†
544,Hippach,Miss Jean Gertrude,17,Cherbourg,S
545,Hippach,Mrs Ida Sophia,44,Cherbourg,S
546,Hirvonen,Miss Hildur Elisabeth,2,Southampton,S
547,Hirvonen,Mrs Helga Elisabeth Lindqvist,22,Southampton,S
548,Hocking,Miss Ellen,20,Southampton,S
549,Hocking,Mr Richard George,23,Southampton,†
550,Hocking,Mr Samuel James Metcalfe,36,Southampton,†
551,Hocking,Mrs Eliza,54,Southampton,S
552,Hodges,Mr Henry Price,50,Southampton,†
553,Hogeboom,Mrs Anna Louisa,51,Cherbourg,S
554,Hold,Mr Stephen,44,Southampton,†
555,Hold,Mrs Annie Margaret,29,Southampton,S
556,Holm,Mr John Fredrik Alexander,43,Southampton,†
557,Holthen,Mr Johan Martin,28,Southampton,†
558,Holverson,Mr Alexander Oskar,42,Southampton,†
559,Holverson,Mrs Mary Aline,35,Southampton,S
560,Homer,Mr Harry,40,Southampton,S
561,Honkanen,Miss Eliina,27,Southampton,†
562,Hood,Mr Ambrose Jr,21,Southampton,†
563,Horgan,Mr John,22,Queenstown,†
564,Hosono,Mr Masabumi,41,Southampton,S
565,Howard,Miss May Elizabeth,26,Southampton,S
566,Howard,Mr Benjamin,63,Southampton,†
567,Howard,Mrs Ellen Truelove,61,Southampton,†
568,Hoyt,Mr Frederick Maxfield,38,Southampton,S
569,Hoyt,Mr William Fisher,42,Cherbourg,S
570,Hoyt,Mrs Jane Anne,31,Southampton,S
571,Humblen,Mr Adolf Mathias Nicolai Olsen,42,Southampton,†
572,Hume,Mr John Law,21,Southampton,†
573,Hunt,Mr George Henry,33,Southampton,†
574,Hyman,Mr Abraham Joseph,34,Southampton,S
575,Hämäläinen,Master Viljo Unto Johannes,7m,Southampton,S
576,Hämäläinen,Mrs Anna,23,Southampton,S
577,Ibrahim Shawah,Mr Yousseff,33,Cherbourg,†
578,Ibrāhīm,Mr Husayn Mahmūd Husayn,11,Cherbourg,†
579,Ibrāhīm,Mrs Sāfiyah,18,Cherbourg,S
580,Icard,Miss Rose Amélie (Maid to Mrs George Nelson Stone),39,Southampton,S
581,Ilett,Miss Bertha,17,Southampton,†
582,Ilieff,Mr Ylio,32,Southampton,†
583,Ilmakangas,Miss Ida Livija,27,Southampton,†
584,Ilmakangas,Miss Pieta Sofia,25,Southampton,†
585,Isham,Miss Ann Elizabeth,50,Cherbourg,†
586,Ismay,Mr Joseph Bruce,49,Southampton,S
587,Ivanoff,Mr Kanio,20,Southampton,†
588,Jabbur (Zabour),Miss Hileni,16,Cherbourg,†
589,Jabbur (Zabour),Miss Thamine,19,Cherbourg,†
590,Jacobsohn,Mr Sidney Samuel,42,Southampton,†
591,Jacobsohn,Mrs Amy Frances Christy,24,Southampton,S
592,Jalševac,Mr Ivan,29,Cherbourg,S
593,Jansson,Mr Carl Olof,21,Southampton,S
594,Jardim,Mr José Neto,21,Southampton,†
595,Jarvis,Mr Denzil John,47,Southampton,†
596,Jefferys,Mr Clifford Thomas,24,Southampton,†
597,Jefferys,Mr Ernest Wilfred,22,Southampton,†
598,Jenkin,Mr Stephen Curnow,32,Southampton,†
599,Jensen,Mr Hans Peder,20,Southampton,†
600,Jensen,Mr Niels Rasmus,48,Southampton,†
601,Jensen,Mr Svend Lauritz,17,Southampton,†
602,Jermyn,Miss Annie Jane,26,Queenstown,S
603,Jerwan,Mrs Marie Marthe,23,Cherbourg,S
604,Johannesen,Mr Bernt Johannes,29,Southampton,S
605,Johanson,Mr Jakob Alfred,34,Southampton,†
606,Johansson,Mr Erik,22,Southampton,†
607,Johansson,Mr Gustaf Joel,33,Southampton,†
608,Johansson,Mr Karl Johan,31,Southampton,†
609,Johansson,Mr Nils,29,Southampton,†
610,Johansson Palmquist,Mr Oskar Leander,26,Southampton,S
611,Johnson,Master Harold Theodor,4,Southampton,S
612,Johnson,Miss Eleanor Ileen,1,Southampton,S
613,Johnson,Mr August,49,Southampton,†
614,Johnson,Mr Malkolm Joackim,33,Southampton,†
615,Johnson,Mr William Cahoone Jr.,19,Southampton,†
616,Johnson,Mrs Elisabeth Vilhelmina,26,Southampton,S
617,Johnston,Master William Andrew,8,Southampton,†
618,Johnston,Miss Catherine Nellie,7,Southampton,†
619,Johnston,Mr Andrew Emslie,35,Southampton,†
620,Johnston,Mrs Eliza,36,Southampton,†
621,Jones,Mr Charles Cresson,46,Southampton,†
622,Jonkoff,Mr Lalio,23,Southampton,†
623,Jonsson,Mr Carl,25,Southampton,S
624,Joseph (Shahin),Mr Elias,39,Cherbourg,†
625,Julian,Mr Henry Forbes,50,Southampton,†
626,Jussila,Miss Katriina,20,Southampton,†
627,Jussila,Miss Mari Aina,21,Southampton,†
628,Jussila,Mr Eiriik,32,Southampton,S
629,Jönsson,Mr Nils Hilding,27,Southampton,†
630,Kallio,Mr Nikolai Erland,17,Southampton,†
631,Kalvik,Mr Johannes Halvorsen,21,Southampton,†
632,Kantor,Mr Sinai,34,Southampton,†
633,Kantor,Mrs Miriam,24,Southampton,S
634,Karajic,Mr Milan,30,Southampton,†
635,Karlsson,Mr Einar Gervasius,21,Southampton,S
636,Karlsson,Mr Julius Konrad Eugen,33,Southampton,†
637,Karlsson,Mr Nils August,22,Southampton,†
638,Karnes,Mrs Claire,28,Southampton,†
639,Karun,Miss Manca,4,Cherbourg,S
640,Karun,Mr Franz,39,Cherbourg,S
641,Katavelos,Mr Vasilios G.,19,Cherbourg,†
642,Keane,Miss Nora Agnes,46,Queenstown,S
643,Keane,Mr Andrew,23,Queenstown,†
644,Keane,Mr Daniel,35,Queenstown,†
645,Keefe,Mr Arthur,39,Southampton,†
646,Keeping,Mr Edwin Herbert (Manservant to Mr & Mrs Widener),33,Southampton,†
647,Kelly,Miss Anna Katherine,20,Queenstown,S
648,Kelly,Miss Mary,22,Queenstown,S
649,Kelly,Mr James,19,Southampton,†
650,Kelly,Mr James,44,Queenstown,†
651,Kelly,Mrs Fanny Maria,45,Southampton,S
652,Kennedy,Mr John,24,Queenstown,†
653,Kent,Mr Edward Austin,58,Cherbourg,†
654,Kenyon,Mr Frederick Roland,41,Southampton,†
655,Kenyon,Mrs Marion Estelle,40,Southampton,S
656,Khalil,Mr Betros,25,Cherbourg,†
657,Khalil,Mrs Zahie,20,Cherbourg,†
658,Kiernan,Mr John Joseph,25,Queenstown,†
659,Kiernan,Mr Philip,22,Queenstown,†
660,Kilgannon,Mr Thomas,22,Queenstown,†
661,Kimball,Mr Edwin Nelson Jr.,42,Southampton,S
662,Kimball,Mrs Susan Gertrude,45,Southampton,S
663,Kink,Miss Maria,22,Southampton,†
664,Kink,Mr Anton,29,Southampton,S
665,Kink,Mr Vincenz,26,Southampton,†
666,Kink-Heilmann,Miss Luise Gretchen,4,Southampton,S
667,Kink-Heilmann,Mrs Luise,26,Southampton,S
668,Kirkland,Father Charles Leonard,52,Queenstown,†
669,Klaber,Mr Herman,41,Southampton,†
670,Klasén,Miss Gertrud Emilia,1,Southampton,†
671,Klasén,Mr Klas Albin,18,Southampton,†
672,Klasén,Mrs Hulda Kristina Eugenia,36,Southampton,†
673,Knight,Mr Robert,39,Belfast,†
674,Kraeff,Mr Theodor,NK,Cherbourg,†
675,Krekorian,Mr Neshan,25,Cherbourg,S
676,Kreuchen,Miss Emilie (Maid to Mrs Edward Scott Robert),29,Southampton,S
677,Krins,Mr Georges Alexandre,23,Southampton,†
678,Kutscher (Lithman),Mr Simon,26,Southampton,†
679,Kvillner,Mr Johan Henrik Johannesson,31,Southampton,†
680,Lahhūd Ishaq Mu’Awwad,MrSark īs,30,Cherbourg,†
681,Lahtinen,Father William,35,Southampton,†
682,Lahtinen,Mrs Anna Amelia,34,Southampton,†
683,Laitinen,Miss Kristina Sofia,37,Southampton,†
684,Lam,Mr Ali,38,Southampton,S
685,Lam,Mr Len,23,Southampton,†
686,Lamb,Mr John J.,30,Queenstown,†
687,Landergren,Miss Aurora Adelia,22,Southampton,S
688,Lane,Mr Patrick,16,Queenstown,†
689,Lang,Mr Fang,32,Southampton,S
690,Laroche,Miss Louise,1,Cherbourg,S
691,Laroche,Miss Simonne Marie Anne Andrée,3,Cherbourg,S
692,Laroche,Mr Joseph Philippe Lemercier,25,Cherbourg,†
693,Laroche,Mrs Juliette Marie Louise,22,Cherbourg,S
694,Larsson,Mr August Viktor,29,Southampton,†
695,Larsson,Mr Bengt Edvin,29,Southampton,†
696,Larsson,Mr Edvard,22,Southampton,†
697,Leader,Dr Alice May,49,Southampton,S
698,Lefebvre,Master Henry,5,Southampton,†
699,Lefebvre,Miss Ida,3,Southampton,†
700,Lefebvre,Miss Jeannie,8,Southampton,†
701,Lefebvre,Miss Mathilde,12,Southampton,†
702,Lefebvre,Mrs Frances Marie,40,Southampton,†
703,Lehmann,Miss Bertha,17,Cherbourg,S
704,Leinonen,Mr Antti Gustaf,32,Southampton,†
705,Leitch,Miss Jessie Wills,31,Southampton,S
706,Lemore,Mrs Amelia,46,Southampton,S
707,Lennon,Mr Denis,20,Queenstown,†
708,Leroy,Miss Berthe (Maid to Mrs Walter Donald Douglas),27,Cherbourg,S
709,Lester,Mr James,26,Southampton,†
710,Lesueur,Mr Gustave J. (Manservant to Mr Thomas Cardeza),35,Cherbourg,S
711,Lewy,Mr Ervin G.,30,Cherbourg,†
712,Leyson,Mr Robert William Norman,25,Southampton,†
713,Lievens,Mr René Aimé,24,Southampton,†
714,Lindahl,Miss Agda Thorilda Viktoria,25,Southampton,†
715,Lindblom,Miss Augusta Charlotta,45,Southampton,†
716,Lindeberg-Lind,Mr Erik Gustaf,42,Southampton,†
717,Lindell,Mr Edvard Bengtsson,36,Southampton,S
718,Lindell,Mrs Elin Gerda,30,Southampton,S
719,Lindqvist,Mr Eino William,20,Southampton,S
720,Lindström,Mrs Sigrid,55,Cherbourg,S
721,Linehan,Mr Michael,21,Queenstown,†
722,Lines,Miss Mary Conover,16,Cherbourg,S
723,Lines,Mrs Elizabeth Lindsey,50,Cherbourg,S
724,Ling,Mr Lee,28,Southampton,†
725,Lingane,Mr John,61,Queenstown,†
726,Linhart,Mr Wenzel,27,Southampton,†
727,Livshin,Mr David,25,Southampton,S
728,Lobb,Mr William Arthur,30,Southampton,†
729,Lobb,Mrs Cordelia K.,26,Southampton,†
730,Lockyer,Mr Edward Thomas,19,Southampton,†
731,Long,Mr Milton Clyde,29,Southampton,†
732,Longley,Miss Gretchen Fiske,21,Cherbourg,S
733,Loring,Mr Joseph Holland,30,Southampton,†
734,Louch,Mr Charles,50,Southampton,†
735,Louch,Mrs Alice Adelaide,42,Southampton,†
736,Lovell,Mr John Hall,20,Southampton,†
737,Lulic,Mr Nikola,29,Southampton,S
738,Lundahl,Mr Johan Svensson,51,Southampton,†
739,Lundin,Miss Olga Elida,23,Southampton,S
740,Lundström,Mr Thure Edvin,32,Southampton,S
741,Lurette,Miss Eugénie Elise (Maid to Mr & Mrs Spencer),59,Cherbourg,S
742,Lymperopoulus,Mr Panagiotis K.,30,Cherbourg,†
743,Lyntakoff,Mr Stanko,44,Southampton,†
744,Lévy,Mr René Jacques,36,Southampton,†
745,Mack,Mrs Mary,57,Southampton,†
746,Mackay,Mr George William,20,Southampton,†
747,Madigan,Miss Margaret,21,Queenstown,S
748,Madill,Miss Georgette Alexandra,16,Southampton,S
749,Madsen,Mr Fridtjof Arne,24,Southampton,S
750,Maguire,Mr John Edward,30,Southampton,†
751,Mahon,Miss Bridget Delia,20,Queenstown,†
752,Maioni,Miss Roberta Elizabeth Mary (Maid to the Countess of Rothes),19,Southampton,S
753,Maisner,Mr Simon,34,Southampton,†
754,Malachard,Mr Jean-Noël,25,Cherbourg,†
755,Mallet,Master André Clement,1,Cherbourg,S
756,Mallet,Mr Albert Denis Pierre,45,Cherbourg,†
757,Mallet,Mrs Antonine Marie,24,Cherbourg,S
758,Mangan,Miss Mary,32,Queenstown,†
759,Mangiavacchi,Mr Serafino Emilio,30,Cherbourg,†
760,Mannion,Miss Margaret,28,Queenstown,S
761,Mardirosian,Mr Sarkis,25,Cherbourg,†
762,Marinko,Mr Dmitri,23,Southampton,†
763,Markoff,Mr Marin,35,Southampton,†
764,Markun,Mr Johann,33,Cherbourg,†
765,Marvin,Mr Daniel Warner,18,Southampton,†
766,Marvin,Mrs Mary Graham Carmichael,18,Southampton,S
767,Maréchal,Mr Pierre,29,Cherbourg,S
768,Matinoff,Mr Nicola,30,Cherbourg,†
769,Matthews,Mr William John,23,Southampton,†
770,Maybery,Mr Frank Hubert,36,Southampton,†
771,Mayné,Mlle Berthe Antonine,24,Cherbourg,S
772,McCaffry,Mr Thomas Francis,46,Southampton,†
773,McCarthy,Miss Catherine,24,Queenstown,S
774,McCarthy,Mr Timothy J.,54,Southampton,†
775,McCormack,Mr Thomas Joseph,19,Queenstown,†
776,McCoy,Miss Agnes,29,Queenstown,S
777,McCoy,Miss Alice,26,Queenstown,S
778,McCoy,Mr Bernard,24,Queenstown,S
779,McCrae,Mr Arthur Gordon,32,Southampton,†
780,McCrie,Mr James Matthew,32,Southampton,†
781,McDermott,Miss Bridget Delia,31,Queenstown,S
782,McEvoy,Mr Michael,19,Queenstown,†
783,McGough,Mr James Robert,35,Southampton,S
784,McGovern,Ms Mary,22,Queenstown,S
785,McGowan,Miss Anna Louise,17,Queenstown,†
786,McGowan,Miss Catherine,42,Queenstown,†
787,McKane,Mr Peter Daniel,46,Southampton,†
788,McMahon,Mr Martin,19,Queenstown,†
789,McNamee,Mr Neal,27,Southampton,†
790,McNamee,Mrs Eileen,19,Southampton,†
791,McNeill,Miss Bridget,32,Queenstown,†
792,Meanwell,Mrs Marian,62,Southampton,†
793,Meehan,Mr John,22,Queenstown,†
794,Meek,Mrs Annie Louisa,31,Southampton,†
795,Mellinger,Miss Violet Madeline,13,Southampton,S
796,Mellinger,Mrs Elizabeth Anne,41,Southampton,S
797,Mellors,Mr William John,19,Southampton,S
798,Meo (Martino),Mr Alfonzo,48,Southampton,†
799,Mernagh,Mr Robert,28,Queenstown,†
800,Meyer,Mr August,31,Southampton,†
801,Meyer,Mr Edgar Joseph,28,Cherbourg,†
802,Meyer,Mrs Leila,25,Cherbourg,S
803,Midtsjø,Mr Karl Albert,21,Southampton,S
804,Mihoff,Mr Stoytcho,28,Southampton,†
805,Miles,Mr Frank,23,Southampton,†
806,Millet,Mr Francis Davis,65,Cherbourg,†
807,Milling,Mr Jacob Christian,48,Southampton,†
808,Minahan,Dr William Edward,44,Queenstown,†
809,Minahan,Miss Daisy E.,33,Queenstown,S
810,Minahan,Mrs Lillian E.,37,Queenstown,S
811,Mineff,Mr Ivan,24,Southampton,†
812,Minkoff,Mr Lazar,21,Southampton,†
813,Mitchell,Mr Henry Michael,71,Southampton,†
814,Mitkoff,Mr Mito,23,Southampton,†
815,Mock,Mr Philipp Edmund,30,Cherbourg,S
816,Mockler,Miss Ellen Mary,23,Queenstown,S
817,Moen,Mr Sigurd Hansen,27,Southampton,†
818,Molson,Mr Harry Markland,55,Southampton,†
819,Montvila,Father Juozas,27,Southampton,†
820,Moor,Master Meier,7,Southampton,S
821,Moor,Mrs Beila,29,Southampton,S
822,Moore,Mr Clarence Bloomfield,47,Southampton,†
823,Moore,Mr Leonard Charles,19,Southampton,†
824,Moran,Miss Bridget,28,Queenstown,S
825,Moran,Mr Daniel J.,27,Queenstown,†
826,Moraweck,Dr Ernest,54,Southampton,†
827,Morley,Mr Henry Samuel,38,Southampton,†
828,Morley,Mr William,34,Southampton,†
829,Morrow,Mr Thomas Rowan,30,Queenstown,†
830,Moss,Mr Albert Johan,29,Southampton,S
831,Moussa,Mrs Mantoura Boulos,35,Cherbourg,†
832,Moutal,Mr Rahamin Haim,28,Southampton,†
833,Mubārik,Master Hal īm,4,Cherbourg,S
834,Mubārik,Master Jirjis,7,Cherbourg,S
835,Mubārik,Mrs Am īnah,24,Cherbourg,S
836,Mudd,Mr Thomas Cupper,16,Southampton,†
837,Mullin,Miss Catherine,21,Queenstown,S
838,Mullin,Miss Mary (Lennon),18,Queenstown,†
839,Mulvihill,Miss Bridget Elizabeth,25,Queenstown,S
840,Murdlin,Mr Joseph,22,Southampton,†
841,Murphy,Miss Catherine,18,Queenstown,S
842,Murphy,Miss Margaret Jane,25,Queenstown,S
843,Murphy,Miss Nora,34,Queenstown,S
844,Muslamān ī,Mrs Fat īmah Muhammad,22,Cherbourg,S
845,Myhrman,Mr Pehr Fabian Oliver Malkolm,18,Southampton,†
846,Myles,Mr Thomas Francis,63,Queenstown,†
847,Mäenpää,Mr Matti Alexanteri,22,Southampton,†
848,Mäkinen,Mr Kalle Edvard,29,Southampton,†
849,Māmā,Mr Hannā Mikā’ īl,18,Cherbourg,S
850,N īqūla Yārid,Master Ilyās,11,Cherbourg,S
851,N īqūla Yārid,Miss Jamilah,14,Cherbourg,S
852,Naidenoff,Mr Penko,22,Southampton,†
853,Najib Kiamie,Miss Adele,15,Cherbourg,S
854,Nakhli,Mr Toufik,17,Cherbourg,†
855,Nakid,Miss Maria,1,Cherbourg,S
856,Nakid,Mr Sahid,20,Cherbourg,S
857,Nakid,Mrs Waika,19,Cherbourg,S
858,Nancarrow,Mr William Henry,36,Southampton,†
859,Nankoff,Mr Minko,32,Southampton,†
860,Nasr ‘Almā,Mr Mustafà,20,Cherbourg,†
861,Nasser,Mr Nicholas,28,Cherbourg,†
862,Nasser,Mrs Adele,14,Cherbourg,†
863,Nassr Rizq,Mr Saade,20,Cherbourg,†
864,Natsch,Mr Charles,36,Cherbourg,†
865,Naughton,Miss Hannah,21,Queenstown,†
866,Navratil,Master Edmond Roger,2,Southampton,S
867,Navratil,Master Michel Marcel,3,Southampton,S
868,Navratil,Mr Michel,32,Southampton,†
869,Nenkov,Mr Hristo,22,Southampton,†
870,Nesson,Mr Israel,26,Southampton,†
871,Newell,Miss Madeleine,31,Cherbourg,S
872,Newell,Miss Marjorie Anne,23,Cherbourg,S
873,Newell,Mr Arthur Webster,58,Cherbourg,†
874,Newsom,Miss Helen Monypeny,19,Southampton,S
875,Nicholls,Mr Joseph Charles,19,Southampton,†
876,Nicholson,Mr Arthur Ernest,59,Southampton,†
877,Nieminen,Miss Manta Josefina,29,Southampton,†
878,Niklasson,Mr Samuel,28,Southampton,†
879,Nilsson,Miss Berta Olivia,18,Southampton,S
880,Nilsson,Miss Helmina Josefina,26,Southampton,S
