,Surname,First Names,Age,Boarded,Survivor (S) or Victim (†)
881,Nilsson,Mr August Ferdinand,21,Southampton,†
882,Nirva,Mr Iisakki Antino äijö,41,Southampton,†
883,Niskänen,Mr Juha,39,Southampton,S
884,Nofal,Mr Mansouer,20,Cherbourg,†
885,Norman,Mr Robert Douglas,27,Southampton,†
886,Nosworthy,Mr Richard Cater,21,Southampton,†
887,Nourney,Mr Alfred,20,Cherbourg,S
888,Nye,Mrs Elizabeth,29,Southampton,S
889,Nysten,Miss Anna Sofia,22,Southampton,S
890,Nysveen,Mr Johan Hansen,60,Southampton,†
891,Oliva Y Ocana,Doña Fermina (Maid to Mrs Victor de Satode Peñasco y Castellana),39,Cherbourg,S
892,Olsen,Master Artur Karl,9,Southampton,S
893,Olsen,Mr Henry Margido,28,Southampton,†
894,Olsen,Mr Karl Siegwart Andreas,42,Southampton,†
895,Olsen,Mr Ole Martin,27,Southampton,†
896,Olsson,Miss Elina,31,Southampton,†
897,Olsson,Mr Nils Johan Göransson,28,Southampton,†
898,Olsson,Mr Oscar Wilhelm,32,Southampton,S
899,Olsvigen,Mr Thor Anderson,20,Southampton,†
900,Omont,Mr Alfred Fernand,29,Cherbourg,S
901,Oreskovic,Miss Jelka,23,Southampton,†
902,Oreskovic,Miss Marija,20,Southampton,†
903,Oreskovic,Mr Luka,20,Southampton,†
904,Ostby,Mr Engelhart Cornelius,64,Southampton,†
905,Osén,Mr Olaf Elon,16,Southampton,†
906,Otter,Mr Richard,38,Southampton,†
907,Oviés Y Rodríguez,Mr Servando José Florentino,36,Cherbourg,†
908,Oxenham,Mr Percy Thomas,22,Southampton,S
909,O’Brien,Mr Denis,21,Queenstown,†
910,O’Brien,Mr Thomas,27,Queenstown,†
911,O’Brien,Mrs Johanna,26,Queenstown,†
912,O’Connell,Mr Patrick Denis,17,Queenstown,†
913,O’Connor,Mr Maurice,16,Queenstown,†
914,O’Connor,Mr Patrick,23,Queenstown,†
915,O’Dwyer,Miss Ellen,25,Queenstown,S
916,O’Keefe,Mr Patrick,21,Queenstown,S
917,O’Leary,Miss Hanora,16,Queenstown,S
918,O’Sullivan,Miss Bridget Mary,21,Queenstown,†
919,Padron Manent,Mr Julian,26,Cherbourg,S
920,Pain,Dr Alfred,23,Southampton,†
921,Pallàs I Castelló,Señor Emili,29,Cherbourg,S
922,Panula,Master Eino Viljam,1,Southampton,†
923,Panula,Master Jaako Arnold,14,Southampton,†
924,Panula,Master Juha Niilo,7,Southampton,†
925,Panula,Master Urho Abraham,2,Southampton,†
926,Panula,Mr Ernesti Arvid,16,Southampton,†
927,Panula,Mrs Maija Emelia Abrahamintytar,41,Southampton,†
928,Parker,Mr Clifford Richard,17,Southampton,†
929,Parkes,Mr Francis,21,Belfast,†
930,Parr,Mr William Henry Marsh,29,Belfast,†
931,Parrish,Mrs Lutie Davis,59,Southampton,S
932,Partner,Mr Austin,40,Southampton,†
933,Pasic,Mr Jakob,21,Southampton,†
934,Patchett,Mr George,19,Southampton,†
935,Pavlovic,Mr Stefo,32,Southampton,†
936,Payne,Mr Vivian Ponsonby (Private secretary to Mr Charles Melville Hays),22,Southampton,†
937,Peacock,Master Albert Edward,7m,Southampton,†
938,Peacock,Miss Treasteall,3,Southampton,†
939,Peacock,Mrs Edith,26,Southampton,†
940,Pearce,Mr Ernest,32,Southampton,†
941,Pears,Mr Thomas Clinton,29,Southampton,†
942,Pears,Mrs Edith,22,Southampton,S
943,Pedersen,Mr Olaf,28,Southampton,†
944,Peduzzi,Mr Giuseppe,24,Southampton,†
945,Pekoniemi,Mr Edvard,21,Southampton,†
946,Peltomäki,Mr Nikolai Johannes,25,Southampton,†
947,Pengelly,Mr Frederick William,19,Southampton,†
948,Perkin,Mr John Henry,22,Southampton,†
949,Pernot,Mr René,39,Cherbourg,†
950,Perreault,Miss Mary Anne (Maid to Mrs Charles Melville Hays),33,Southampton,S
951,Persson,Mr Ernst Ulrik,25,Southampton,S
952,Peruschitz,Father Josef,41,Southampton,†
953,Peter/Joseph,Master Michael J.,4,Cherbourg,S
954,Peter/Joseph,Miss Anna,2,Cherbourg,S
955,Peteranec,Miss Mathilda,28,Southampton,†
956,Peters,Miss Catherine,26,Queenstown,†
957,Petersen,Mr Marius,24,Southampton,†
958,Petroff,Mr Nedialco,19,Southampton,†
959,Petroff,Mr Pastcho,29,Southampton,†
960,Pettersson,Miss Elin Natalia,18,Southampton,†
961,Pettersson,Mr Johan Emil,25,Southampton,†
962,Peuchen,Major Arthur Godfrey,52,Southampton,S
963,Peñasco Y Castellana,Mr Victor,24,Cherbourg,†
964,Peñasco Y Castellana,Mrs Maria Josefa Perezde Soto y Vallejo,22,Cherbourg,S
965,Phillips,Miss Alice Frances Louisa,21,Southampton,S
966,Phillips,Miss Kate Florence,19,Southampton,S
967,Phillips,Mr Escott Robert,42,Southampton,†
968,Picard,Mr Benoît,32,Southampton,S
969,Pinsky,Mrs Rosa,32,Southampton,S
970,Plotcharsky,Mr Vasil,27,Southampton,†
971,Pokrnic,Mr Mate,17,Southampton,†
972,Pokrnic,Mr Tome,24,Southampton,†
973,Ponesell,Mr Martin,24,Southampton,†
974,Portaluppi,Mr Emilio Ilario Giuseppe,30,Cherbourg,S
975,Porter,Mr Walter Chamberlain,46,Southampton,†
976,Potter,Mrs Lily Alexenia,56,Cherbourg,S
977,Pulbaum,Mr Franz,27,Cherbourg,†
978,Pulner,Mr Uscher,16,Cherbourg,†
979,Pålsson,Master Gösta Leonard,2,Southampton,†
980,Pålsson,Master Paul Folke,6,Southampton,†
981,Pålsson,Miss Stina Viola,3,Southampton,†
982,Pålsson,Miss Torborg Danira,8,Southampton,†
983,Pålsson,Mrs Alma Cornelia,29,Southampton,†
984,Quick,Miss Phyllis May,2,Southampton,S
985,Quick,Miss Winifred Vera,8,Southampton,S
986,Quick,Mrs Jane,33,Southampton,S
987,Radeff,Mr Alexander,27,Southampton,†
988,Rafūl-Būlus,Mr Bākhūs,20,Cherbourg,†
989,Rasmussen,Mrs Lena Jakobsen,63,Southampton,†
990,Razi,Mr Raihed,30,Cherbourg,†
991,Reed,Mr James George,19,Southampton,†
992,Reeves,Mr David,36,Southampton,†
993,Rekic,Mr Tido,38,Southampton,†
994,Renouf,Mr Peter Henry,33,Southampton,†
995,Renouf,Mrs Lillian,30,Southampton,†
996,Reuchlin,Mr Jonkheer Johan George,38,Cherbourg,†
997,Reynalds,Señora Encarnación,28,Southampton,S
998,Reynolds,Mr Harold,21,Southampton,†
999,Rheims,Mr George Alexander Lucien,33,Cherbourg,S
1000,Rice,Master Albert,10,Queenstown,†
1001,Rice,Master Arthur,4,Queenstown,†
1002,Rice,Master Eric,7,Queenstown,†
1003,Rice,Master Eugene Francis,2,Queenstown,†
1004,Rice,Master George Hugh,8,Queenstown,†
1005,Rice,Mrs Margaret,39,Queenstown,†
1006,Richard,Mr Emile Phillippe,23,Cherbourg,†
1007,Richards,Master Sibley George,9m,Southampton,S
1008,Richards,Master William Rowe,3,Southampton,S
1009,Richards,Mrs Emily,24,Southampton,S
1010,Ridsdale,Miss Lucy,58,Southampton,S
1011,Righini,Mr Sante (Manservant to Mrs John Stewart White),22,Cherbourg,†
1012,Riihivuori,Miss Susanna Juhantytär,22,Southampton,†
1013,Rintamäki,Mr Matti,35,Southampton,†
1014,Riordan,Miss Hannah,18,Queenstown,S
1015,Risien,Mr Samuel Beard,69,Southampton,†
1016,Risien,Mrs Emma Jane,58,Southampton,†
1017,Robert,Mrs Elisabeth Walton,43,Southampton,S
1018,Robins,Mr Alexander A.,50,Southampton,†
1019,Robins,Mr Victor (Valet to Mr John Jacob Astor),42,Cherbourg,†
1020,Robins,Mrs Charity,47,Southampton,†
1021,Roebling,Mr Washington Augustus II,31,Southampton,†
1022,Rogers,Mr Reginald Harry,18,Southampton,†
1023,Rogers,Mr William John,29,Southampton,†
1024,Romaine,Mr Charles Hallace,45,Southampton,S
1025,Rommetvedt,Mr Knud Paust,49,Southampton,†
1026,Rood,Mr Hugh Roscoe,39,Southampton,†
1027,Rosblom,Miss Salli Helena,2,Southampton,†
1028,Rosblom,Mr Viktor Richard,18,Southampton,†
1029,Rosblom,Mrs Helena Wilhelmina,41,Southampton,†
1030,Rosenbaum,Miss Edith Louise,33,Cherbourg,S
1031,Rosenshine,Mr George,46,Cherbourg,†
1032,Ross,Mr John Hugo,36,Southampton,†
1033,Roth,Miss Sarah,31,Southampton,S
1034,Rothes,"Lucy Noël Martha, Countess of",33,Southampton,S
1035,Rothschild,Mr Martin,46,Cherbourg,†
1036,Rothschild,Mrs Elizabeth Jane Anne,54,Cherbourg,S
1037,Rouse,Mr Richard Henry,53,Southampton,†
1038,Rowe,Mr Alfred G.,59,Southampton,†
1039,Rugg,Miss Emily,21,Southampton,S
1040,Rush,Mr Alfred George John,17,Southampton,†
1041,Ryan,Mr Edward,24,Queenstown,S
1042,Ryan,Mr Patrick,30,Queenstown,†
1043,Ryerson,Master John Borie,13,Cherbourg,S
1044,Ryerson,Miss Emily Borie,18,Cherbourg,S
1045,Ryerson,Miss Susan Parker “Suzette”,21,Cherbourg,S
1046,Ryerson,Mr Arthur Larned,61,Cherbourg,†
1047,Ryerson,Mrs Emily Maria,48,Cherbourg,S
1048,Saad,Mr Amin,30,Cherbourg,†
1049,Saad,Mr Khalil,27,Cherbourg,†
1050,Saalfeld,Mr Adolphe,47,Southampton,S
1051,Sadlier,Mr Matthew,18,Queenstown,†
1052,Sadowitz,Mr Henry,17,Southampton,†
1053,Sage,Master Anthony William,12,Southampton,†
1054,Sage,Master Thomas Henry,4,Southampton,†
1055,Sage,Miss Constance Gladys,7,Southampton,†
1056,Sage,Miss Dorothy,14,Southampton,†
1057,Sage,Miss Elizabeth Ada,10,Southampton,†
1058,Sage,Miss Stella Anne,20,Southampton,†
1059,Sage,Mr Douglas Bullen,18,Southampton,†
1060,Sage,Mr Frederick,16,Southampton,†
1061,Sage,Mr George John,19,Southampton,†
1062,Sage,Mr John George,44,Southampton,†
1063,Sage,Mrs Annie Elizabeth,44,Southampton,†
1064,Salander,Mr Karl Johan,24,Southampton,†
1065,Salkjelsvik,Miss Anna Kristine,21,Southampton,S
1066,Salomon,Mr Abraham Lincoln,43,Cherbourg,S
1067,Salonen,Mr Johan Werner,29,Southampton,†
1068,Samaan,Mr Elias,17,Cherbourg,†
1069,Samaan,Mr Hanna Elias,40,Cherbourg,†
1070,Samaan,Mr Youssef,16,Cherbourg,†
1071,Sandström,Miss Beatrice Irene,1,Southampton,S
1072,Sandström,Miss Marguerite Rut,4,Southampton,S
1073,Sandström,Mrs Agnes Charlotta,24,Southampton,S
1074,Sap,Mr Julius,21,Southampton,S
1075,Saundercock,Mr William Henry,19,Southampton,†
1076,Sawyer,Mr Frederick Charles,33,Southampton,†
1077,Scanlan,Mr James,22,Queenstown,†
1078,Schabert,Mrs Emma,35,Cherbourg,S
1079,Scheerlinck,Mr Jean,29,Southampton,S
1080,Schmidt,Mr Augustus,21,Southampton,†
1081,Sdycoff,Mr Todor,42,Southampton,†
1082,Sedgwick,Mr Charles Frederick Waddington,28,Southampton,†
1083,Seman,Master Betros,10,Cherbourg,†
1084,Serreplan,Miss Auguste (Maid to Mrs William Carter),30,Southampton,S
1085,Seward,Mr Frederic Kimber,34,Southampton,S
1086,Shannon,Mr Andrew John,36,Southampton,†
1087,Sharp,Mr Percival,27,Southampton,†
1088,Shaughnessy,Mr Patrick,24,Queenstown,†
1089,Shedid,Mr Daher,19,Cherbourg,†
1090,Shellard,Mr Frederick William Blainey,55,Southampton,†
1091,Shelley,Mrs Imanita Parrish,25,Southampton,S
1092,Shihāb,Mr Al-Am īr Fāris,29,Cherbourg,†
1093,Shine,Miss Ellen,20,Queenstown,†
1094,Shorney,Mr Charles Joseph,22,Southampton,†
1095,Shutes,Miss Elizabeth Weed (Governess to Miss Margaret Edith Graham),40,Southampton,S
1096,Silverthorne,Mr Spencer Victor,35,Southampton,S
1097,Silvey,Mr William Baird,51,Cherbourg,†
1098,Silvey,Mrs Alice Gray,39,Cherbourg,S
1099,Silvén,Miss Lyyli Karoliina,17,Southampton,S
1100,Simmons,Mr John,40,Southampton,†
1101,Simonius-Blumer,Mr Colonel (Oberst) Alfons,56,Southampton,S
1102,Sincock,Miss Maude,20,Southampton,S
1103,Sinkkonen,Miss Anna,29,Southampton,S
1104,Sirayanian,Mr Orsen,22,Cherbourg,†
1105,Sirota,Mr Morris,20,Southampton,†
1106,Sivic,Mr Husein,40,Southampton,†
1107,Sivola,Mr Antti Wilhelm,21,Southampton,†
1108,Sjöblom,Miss Anna Sofia,18,Southampton,S
1109,Sjöstedt,Mr Ernst Adolf,59,Southampton,†
1110,Skoog,Master Harald,5,Southampton,†
1111,Skoog,Master Karl Thorsten,11,Southampton,†
1112,Skoog,Miss Mabel,9,Southampton,†
1113,Skoog,Miss Margit Elizabeth,2,Southampton,†
1114,Skoog,Mr Wilhelm Johansson,40,Southampton,†
1115,Skoog,Mrs Anna Bernhardina,43,Southampton,†
1116,Slabenoff,Mr Petco,42,Southampton,†
1117,Slayter,Miss Hilda Mary,30,Queenstown,S
1118,Slemen,Mr Richard James,35,Southampton,†
1119,Slocovski,Mr Selman Francis,20,Southampton,†
1120,Sloper,Mr William Thompson,28,Southampton,S
1121,Smart,Mr John Montgomery,56,Southampton,†
1122,Smiljanic,Mr Mile,37,Southampton,†
1123,Smith,Miss Marion Elsie,39,Southampton,S
1124,Smith,Mr James Clinch,56,Cherbourg,†
1125,Smith,Mr Lucian Philip,24,Cherbourg,†
1126,Smith,Mr Richard William,57,Southampton,†
1127,Smith,Mrs Mary Eloise,18,Cherbourg,S
1128,Smyth,Miss Julia,17,Queenstown,S
1129,Smyth,Mr Thomas,26,Queenstown,†
1130,Snyder,Mr John Pillsbury,24,Southampton,S
1131,Snyder,Mrs Nelle,23,Southampton,S
1132,Sobey,Mr Samuel James Hayden,25,Southampton,†
1133,Somerton,Mr Francis William,30,Southampton,†
1134,Spector,Mr Woolf,23,Southampton,†
1135,Spedden,Master Robert Douglas,6,Cherbourg,S
1136,Spedden,Mr Frederic Oakley,45,Cherbourg,S
1137,Spedden,Mrs Margaretta Corning “Daisy”,39,Cherbourg,S
1138,Spencer,Mr William Augustus,57,Cherbourg,†
1139,Spencer,Mrs Marie Eugenie,45,Cherbourg,S
1140,Spinner,Mr Henry John,32,Southampton,†
1141,Staneff,Mr Ivan,23,Southampton,†
1142,Stankovic,Mr Ivan,33,Cherbourg,†
1143,Stanley,Miss Amy Zillah Elsie,24,Southampton,S
1144,Stanley,Mr Edward Roland,21,Southampton,†
1145,Stanton,Mr Samuel Ward,42,Cherbourg,†
1146,Stead,Mr William Thomas,62,Southampton,†
1147,Stengel,Mr Charles Emil Henry,54,Cherbourg,S
1148,Stengel,Mrs Annie May,44,Cherbourg,S
1149,Stephenson,Mrs Martha,52,Cherbourg,S
1150,Stewart,Mr Albert Ankeny,64,Cherbourg,†
1151,Stokes,Mr Philip Joseph,25,Southampton,†
1152,Stone,Mrs Martha Evelyn,62,Southampton,S
1153,Storey,Mr Thomas,51,Southampton,†
1154,Stoytcheff,Mr Ilia,19,Southampton,†
1155,Strandberg,Miss Ida Sofia,22,Southampton,†
1156,Strandén,Mr Juho Niilosson,31,Southampton,S
1157,Straus,Mr Isidor,67,Southampton,†
1158,Straus,Mrs Rosalie Ida,63,Southampton,†
1159,Strilic,Mr Ivan,27,Southampton,†
1160,Ström,Miss Telma Matilda,2,Southampton,†
1161,Ström,Mrs Elna Matilda,29,Southampton,†
1162,Stähelin-Maeglin,Dr Max,32,Southampton,S
1163,Sunderland,Mr Victor Francis,20,Southampton,S
1164,Sundman,Mr Johan Julian,44,Southampton,S
1165,Sutehall,Mr Henry Jr,25,Southampton,†
1166,Sutton,Mr Frederick,61,Southampton,†
1167,Svensson,Mr Johan,74,Southampton,†
1168,Svensson,Mr Johan Cervin,14,Southampton,S
1169,Svensson,Mr Olof,24,Southampton,†
1170,Swane,Mr George,19,Southampton,†
1171,Sweet,Mr George Frederick,14,Southampton,†
1172,Swift,Mrs Margaret Welles,46,Southampton,S
1173,Sägesser,Mlle Emma (Maid to Mme. Léontine Pauline Aubart),24,Cherbourg,S
1174,Sæther,Mr Simon Sivertsen,43,Southampton,†
1175,Søholt,Mr Peter Andreas Lauritz Andersen,19,Southampton,†
1176,Tannūs,Master As’ad,5m,Cherbourg,S
1177,Tannūs,Mr Bash īr,31,Cherbourg,†
1178,Tannūs,Mrs Tham īn,16,Cherbourg,S
1179,Taussig,Miss Ruth,18,Southampton,S
1180,Taussig,Mr Emil,52,Southampton,†
1181,Taussig,Mrs Tillie,39,Southampton,S
1182,Taylor,Mr Elmer Zebley,48,Southampton,S
1183,Taylor,Mr Percy Cornelius,32,Southampton,†
1184,Taylor,Mrs Juliet Cummins,49,Southampton,S
1185,Tenglin,Mr Gunnar Isidor,25,Southampton,S
1186,Thayer,Mr John Borland,49,Cherbourg,†
1187,Thayer,Mr John Borland Jr,17,Cherbourg,S
1188,Thayer,Mrs Marian Longstreth,39,Cherbourg,S
1189,Theobald,Mr Thomas Leonard,34,Southampton,†
1190,Thomas/Tannous,Mr John,34,Cherbourg,†
1191,Thomas/Tannous,Mr Tannous,16,Cherbourg,†
1192,Thompson,Mr Alexander Morrison,36,Southampton,†
1193,Thorne,Miss Gertrude Maybelle,38,Cherbourg,S
1194,Thorneycroft,Mr Percival,36,Southampton,†
1195,Thorneycroft,Mrs Florence Kate,32,Southampton,S
1196,Tikkanen,Mr Juho,32,Southampton,†
1197,Tobin,Mr Roger,20,Queenstown,†
1198,Todoroff,Mr Lalio,23,Southampton,†
1199,Tomlin,Mr Ernest Portage,22,Southampton,†
1200,Toomey,Miss Ellen Mary,48,Southampton,S
1201,Torfa,Mr Assad,20,Cherbourg,†
1202,Totevski,Mr Hristo Danchev,25,Southampton,†
1203,Troupiansky,Mr Moses Aaron,23,Southampton,†
1204,Trout,Mrs Jessie Laird,27,Southampton,S
1205,Troutt,Miss Edwina Celia,27,Southampton,S
1206,Tucker,Mr Gilbert Milligan Jr,31,Cherbourg,S
1207,Turcin,Mr Stjepan,36,Southampton,†
1208,Turja,Miss Anna Sofia,18,Southampton,S
1209,Turkula,Mrs Hedwig,63,Southampton,S
1210,Turpin,Mr William John,29,Southampton,†
1211,Turpin,Mrs Dorothy Ann,26,Southampton,†
1212,Tu’Mah,Master Jirjis Yūsuf,8,Cherbourg,S
1213,Tu’Mah,Miss Mariyam,9,Cherbourg,S
1214,Tu’Mah,Mrs Hinnah,27,Cherbourg,S
1215,Törber,Mr Ernst Wilhelm,41,Southampton,†
1216,Törnquist,Mr William Henry,25,Southampton,S
1217,Uruchurtu,Don. Manuel Ramirez,39,Cherbourg,†
1218,Van Billiard,Master James William,10,Southampton,†
1219,Van Billiard,Master Walter John,9,Southampton,†
1220,Van Billiard,Mr Austin Blyler,35,Southampton,†
1221,Van De Velde,Mr Johannes Josef,35,Southampton,†
1222,Van Den Steen,Mr Leo Peter,28,Southampton,†
1223,Van Der Hoef,Mr Wyckoff,61,Belfast,†
1224,Van Impe,Miss Catharina,10,Southampton,†
1225,Van Impe,Mr Jean Baptiste,36,Southampton,†
1226,Van Impe,Mrs Rosalie Paula,30,Southampton,†
1227,Van Melckebeke,Mr Philemon,23,Southampton,†
1228,Vandercruyssen,Mr Victor,46,Southampton,†
1229,Vanderplancke,Miss Augusta Maria,18,Southampton,†
1230,Vanderplancke,Mr Julius,31,Southampton,†
1231,Vanderplancke,Mr Leo Edmondus,15,Southampton,†
1232,Vanderplancke,Mrs Emelie Maria,31,Southampton,†
1233,Vandewalle,Mr Nestor Cyriel,28,Southampton,†
1234,Vartanian,Mr David,22,Cherbourg,†
1235,Veal,Mr James,40,Southampton,†
1236,Vendel,Mr Olof Edvin,20,Southampton,†
1237,Veström,Miss Hulda Amanda Adolfina,14,Southampton,†
1238,Vovk,Mr Janko,21,Southampton,†
1239,Waelens,Mr Achille,22,Southampton,†
1240,Walker,Mr William Anderson,48,Southampton,†
1241,Wallcroft,Miss Ellen “Nellie”,36,Southampton,S
1242,Ward,Miss Annie Moore (Maid to Mrs Charlotte Cardeza),35,Cherbourg,S
1243,Ware,Mr Frederick,34,Southampton,†
1244,Ware,Mr John James,45,Southampton,†
1245,Ware,Mr William Jeffery,23,Southampton,†
1246,Ware,Mrs Florence Louise,31,Southampton,S
1247,Warren,Mr Charles William,30,Southampton,†
1248,Warren,Mr Frank Manley,63,Cherbourg,†
1249,Warren,Mrs Anna Sophia,60,Cherbourg,S
1250,Watson,Mr Ennis Hastings,19,Belfast,†
1251,Watt,Miss Robertha Josephine,12,Southampton,S
1252,Watt,Mrs Elizabeth,40,Southampton,S
1253,Wazli,Mr Yousif Ahmed,23,Cherbourg,†
1254,Webber,Miss Susan,37,Southampton,S
1255,Webber,Mr James,66,Southampton,†
1256,Weir,Colonel John,59,Southampton,†
1257,Weisz,Mr Léopold,37,Southampton,†
1258,Weisz,Mrs Mathilde Françoise,37,Southampton,S
1259,Wells,Master Ralph Lester,2,Southampton,S
1260,Wells,Miss Joan,4,Southampton,S
1261,Wells,Mrs Addie Dart,29,Southampton,S
1262,Wennerström,Mr August,27,Southampton,S
1263,West,Miss Barbara Joyce,10m,Southampton,S
1264,West,Miss Constance Mirium,4,Southampton,S
1265,West,Mr Edwy Arthur,36,Southampton,†
1266,West,Mrs Ada Mary,33,Southampton,S
1267,Wheadon,Mr Edward Henry,65,Southampton,†
1268,Wheeler,Mr Edwin Charles,24,Southampton,†
1269,Whilems,Mr Charles,31,Southampton,S
1270,White,Mr Percival Wayland,54,Southampton,†
1271,White,Mr Richard Frasar,21,Southampton,†
1272,White,Mrs Ella,55,Cherbourg,S
1273,Wick,Colonel George Dennick,57,Southampton,†
1274,Wick,Miss Mary Natalie,31,Southampton,S
1275,Wick,Mrs Mary Peebles,45,Southampton,S
1276,Widegren,Mr Carl Peter,51,Southampton,†
1277,Widener,Mr George Dunton,50,Southampton,†
1278,Widener,Mr Harry Elkins,27,Southampton,†
1279,Widener,Mrs Eleanor,50,Southampton,S
1280,Wiklund,Mr Jakob Alfred,18,Southampton,†
1281,Wiklund,Mr Karl Johan,21,Southampton,†
1282,Wilkes,Mrs Ellen,47,Southampton,S
1283,Wilkinson,Mrs Elizabeth Anne,35,Southampton,S
1284,Willard,Miss Constance,21,Southampton,S
1285,Willer,Mr Aaron,37,Cherbourg,†
1286,Willey,Mr Edward John,18,Southampton,†
1287,Williams,Mr Charles Duane,51,Cherbourg,†
1288,Williams,Mr Charles Eugene,23,Southampton,S
1289,Williams,Mr Fletcher Fellowes Lambert,43,Southampton,†
1290,Williams,Mr Howard Hugh,28,Southampton,†
1291,Williams,Mr Leslie,28,Southampton,†
1292,Williams,Mr Richard Norris II,21,Cherbourg,S
1293,Wilson,Miss Helen Alice (Maid to Mrs Frederic Oakley Spedden),31,Cherbourg,S
1294,Windeløv,Mr Einar,21,Southampton,†
1295,Wirz,Mr Albert,27,Southampton,†
1296,Wiseman,Mr Philippe,54,Southampton,†
1297,Wittevrongel,Mr Camilius Aloysius,36,Southampton,†
1298,Woodward,Mr John Wesley,32,Southampton,†
1299,Woolner,Mr Hugh,45,Southampton,S
1300,Wright,Miss Marion,26,Southampton,S
1301,Wright,Mr George,62,Southampton,†
1302,Yasbeck,Mr Antoni,27,Cherbourg,S
1303,Yazbeck,Mrs Selini,15,Cherbourg,†
1304,Young,Miss Marie Grice,36,Cherbourg,S
1305,Yousseff (Abi Saab),Mr Gerios,26,Cherbourg,†
1306,Youssiff (Sam’Aan),Mr Gerios,45,Cherbourg,†
1307,Yvois,Miss Henriette,24,Southampton,†
1308,Yūsuf,Mrs Kātr īn,24,Cherbourg,S
1309,Zakarian,Mr Mapriededer,22,Cherbourg,†
1310,Zakarian,Mr Ortin,27,Cherbourg,†
1311,Zenni,Mr Philip,22,Cherbourg,S
1312,Zimmermann,Mr Leo,29,Southampton,†
1313,Ådahl,Mr Mauritz,30,Southampton,†
1314,Ödahl,Mr Nils Martin,23,Southampton,†
1315,Öhman,Miss Velin,22,Southampton,S
1316,Østby,Miss Helen Ragnhild,22,Southampton,S
